Disease,Symptoms,Prevalence,Prevalence Rate_2023,Prevalence Rate_2022,Prevalence Rate_2021,Prevalence Rate_2020,Prevalence Rate_2019,Annual_therapy_Cost_2023,Average_therapy_cost_2019,Average_therapy_cost_2020,Average_therapy_cost_2021,Average_therapy_cost_2022,Annual_Therapy_Costs,Quality_of_Life,Morbidity,Mortality,Efficacy,Safety,Adverse_Events,Age_Group,Gender,Type_of_Drug,Target Population 2019,Target Population 2020,Target Population 2021,Target Population 2022,Target Population 2023,Market_Size_2019,Patient_Pool_2019,Market_Size_2020,Patient_Pool_2020,Market_Size_2021,Patient_Pool_2021,Market_Size_2022,Patient_Pool_2022
Hairy Cell Leukemia,"Fatigue, recurrent infections, easy bruising or bleeding, abdominal discomfort or fullness, lymphadenopathy (swollen lymph nodes), splenomegaly (enlarged spleen).","Approximately 2,500 new cases annually in the USA.",0.001,0.00099,0.00098,0.00097,0.00096,92500,90864.44008,91403.16206,88347.65998,85648.14815,"Estimated between $45,000 to $140,000 depending on treatment duration and additional healthcare needs.","Patients often experience significant fatigue and lifestyle limitations due to the disease and its treatment, but with effective treatment, many can achieve a good quality of life.",0.3,0.05,Around 8590% overall response rate in clinical settings.,Generally welltolerated; regular monitoring is essential for safety; longterm safety data is continuing to evolve.,"Common adverse events include fatigue, headache, pyrexia (fever), nausea, and infection risk.","Primarily adults, with a peak incidence between ages 5070.",More common in males (approximately 23 times more prevalent than in females).,Monoclonal antibody (specifically targeting CD22).,386000000,382600000,379200000,375800000,372400000,33670726916,370560,33921724308,371122,32831404011,371616,31864708333,372042
Hepatic Encephalopathy,"Confusion, forgetfulness, altered level of consciousness, personality changes, motor dysfunction, and in severe cases, coma.",Approximately 3050% of patients with liver cirrhosis experience hepatic encephalopathy at some point in their illness.,0.4,0.39999,0.39998,0.39997,0.39996,1000,982.3182711,988.1422925,955.1098376,925.9259259,"Approximately $800  $1,200 per year for lactulose treatment in the USA.",Patients with hepatic encephalopathy often experience a decreased quality of life due to cognitive and physical impairments.,0.5,20.5,Lactulose is effective in reducing the recurrence of hepatic encephalopathy with success rates of 7080% in preventing episodes.,"Generally considered safe with a low incidence of serious adverse effects; however, it can cause discomfort in some patients.","Common adverse events include bloating, diarrhea, abdominal cramping, and flatulence. Serious adverse events are rare.","Most commonly used in adults, but may be prescribed for pediatric patients as well, particularly in cases of chronic liver disease.","Use is generally equal across genders, as liver diseases affect both males and females.",Small molecule (osmotic laxative).,386000000,382600000,379200000,375800000,372400000,1.51655E+11,154384560,1.51214E+11,153028522,1.44864E+11,151672416,1.39182E+11,150316242
Homocystinuria,"Developmental delays, intellectual disability, cardiovascular disease, skeletal abnormalities, eye disorders (such as lens dislocation), and thrombosis.","Approximately 1 in 200,000 to 1 in 300,000 individuals in the USA.",0.0000033,0.0000067,0.0000167,0.0000267,0.0000367,90000,88408.6444,88932.80632,85959.88539,83333.33333,"Approximately $80,000 to $100,000 per year, depending on individual dosing and pharmacy costs.","Quality of life can be significantly impacted by physical and cognitive symptoms, but effective management can improve outcomes.",0.3,5.2,"CYSTADANE (betaine anhydrous) is effective in lowering homocysteine levels in patients with homocystinuria, improving clinical outcomes.",Generally welltolerated; safety data indicate a low incidence of serious adverse effects when used as directed.,"Common adverse events include nausea, abdominal discomfort, and diarrhea.","Primarily prescribed for children and adults with homocystinuria, typically diagnosed in infancy or early childhood.",No specific gender predisposition; affects both males and females equally.,Small molecule (nutritional supplement that acts to lower homocysteine levels).,344400000,341400000,338400000,335400000,332400000,1117439293,12639.48,810656324.1,9115.38,485783381.1,5651.28,187265000,2247.18
Huntington's Disease,"Chorea (involuntary movements), cognitive decline, emotional disturbances, and psychiatric issues.","Approximately 4 to 10 cases per 100,000 individuals in the USA.",0.00007,0.00006,0.00005,0.00004,0.00003,20000,19646.36542,19762.84585,19102.19675,18518.51852,"Approximately $15,000 to $25,000 per year, depending on healthcare coverage and pharmacy pricing.","Significantly impacted, with a decrease in physical, emotional, and social wellbeing, especially as the disease progresses.",0.9,8015.2,"Clinical trials have shown AUSTEDO (deutetrabenazine) to reduce chorea associated with Huntington's Disease, with improvement rates around 4050%.","Generally welltolerated, but like all medications, it poses potential risks and requires monitoring.","Common adverse events include sedation, depression, anxiety, and potential for akathisia (restlessness) and extrapyramidal symptoms.","Primarily adults, typically diagnosed in midadulthood (30s to 50s).","No significant gender predilection, but onset may vary slightly by sex in clinical cases.","Small molecules (specifically, a vesicular monoamine transporter 2 (VMAT2) inhibitor).",406000000,402400000,398800000,395200000,391600000,239292730.8,12180,318102766.8,16096,380897803.2,19940,439111111.1,23712
Hyperaldosteronism,"Hypertension, hypokalemia, fatigue, muscle weakness, headaches, palpitations",Approximately 0.5% of the general population in Italy,0.005,0.00499,0.00498,0.00497,0.00496,245,240.6679764,242.0948617,234.0019102,226.8518519,Approximately 200300,Can be significantly affected if left untreated; improved with effective management,0.3,0.05,"Effective in managing symptoms and controlling hypertension, with studies showing reductions in blood pressure levels",Generally safe when used as prescribed; monitoring required for potassium levels,"Hyperkalemia, gastrointestinal disturbances (nausea, diarrhea), dizziness, rash","Adults, primarily those aged 3060 years","No significant gender preference, but may have a slightly higher prevalence in males",Small molecules (potassiumsparing diuretic),406000000,402400000,398800000,395200000,391600000,484647544.2,2013760,484172292.5,1999928,464733409.7,1986024,447362740.7,1972048
Hyperhidrosis,"Excessive sweating, particularly in the palms, soles of the feet, underarms, and face.",Approximately 3% of the population in Switzerland.,0.03,0.02999,0.02998,0.02997,0.02996,345,338.8998035,340.9090909,329.512894,319.4444444,Approximately CHF 200400 per year.,Significantly affected due to embarrassment and social anxiety; patients report lower overall life satisfaction.,0.3,0,High efficacy observed in reducing sweat production with a response rate of about 7080%.,Generally welltolerated; safety profile is favorable when used as directed.,"Possible local skin reactions, irritation, or allergic responses at the application site.",Primarily affects adolescents and adults (ages 1250).,"Both males and females, although there may be a slight male predominance in certain studies.",Topical formulation (antiperspirant).,369010909.1,365732121.2,362453333.3,359174545.5,355895757.6,3746729429,11055566.84,3736701706,10960991.67,3580602743,10866350.93,3440942031,10771644.62
Hyperosmolar Hyperglycemic State (HHS),"High blood sugar levels, increased thirst, frequent urination, dry mouth, weakness, confusion, fever, and drowsiness.","Approximately 28 cases per 1,000 people with diabetes in the USA, more common in elderly and those with poorly controlled diabetes.",0.005,0.00499,0.00498,0.00497,0.00496,10000,9823.182711,9881.422925,9551.098376,9259.259259,"Costs can vary; hospital treatment averages around $10,000 for acute episodes, excluding longterm monitoring and diabetes management costs.","Can significantly decrease quality of life if not managed, leading to hospitalization and potential longterm complications.",30.5,5.15,Effective in reducing blood osmolarity and hyperglycemia in acute settings; rapid onset of action.,Generally safe when used as directed with proper monitoring; risk of fluid imbalance.,"Electrolyte imbalances, shifts in fluid status, nausea, abdominal pain.","Primarily adults over 50 years old, but can occur in younger individuals with poorly controlled diabetes.","Affects both men and women, although men may have a slightly higher incidence due to differences in diabetes prevalence.",Hyperosmolarity agent (osmotic laxative) used in specific medical scenarios.,353974117.6,350825882.4,347677647.1,344529411.8,341381176.5,17246676064,1755711.623,17229294817,1743604.636,16537102985,1731434.683,15918534860,1719201.765
Hyperparathyroidism,"Fatigue, weakness, depression, bone pain, kidney stones, abdominal pain","Approximately 13 per 1,000 individuals in Switzerland",0.002,0.00199,0.00198,0.00197,0.00196,4887.5,4801.08055,4829.545455,4668.099331,4525.462963,"Estimated at CHF 3,500  CHF 5,000","Moderate to low, depending on complications and comorbidities",0.3,0.05,"High, effective in imaging and diagnosis when used for parathyroid gland localization",Generally safe with proper usage and in accordance with guidelines,"Minimal, potential for radiation exposure but managed with precautions",Primarily affects adults aged 5070,More common in females,Radiopharmaceuticals (tracer for diagnostic imaging),406000000,402400000,398800000,395200000,391600000,3820507859,795760,3828515909,792728,3686043266,789624,3559041296,786448
Hypertensive Crisis,"Severe headache, shortness of breath, chest pain, severe anxiety, blurred vision, confusion, seizures, and possible organ dysfunction due to high blood pressure.",Approximately 13% of adults may experience hypertensive crises at some point in their lives in the USA.,0.02,0.01999,0.01998,0.01997,0.01996,2000,1964.636542,1976.284585,1910.219675,1851.851852,"Varies by institution; for hospital settings, it can range from $1,000 to $3,000, depending on length of stay and monitoring requirements.","Poor during the crisis, with significant potential for complications; however, effective management can improve outcomes significantly.",0.4,0.15,High efficacy in reducing acute blood pressure in hypertensive emergencies.,Generally safe when used under medical supervision; requires careful monitoring of blood pressure and signs of adverse effects.,"Hypotension, reflex tachycardia, headache, dizziness, nausea, and rarely cyanide toxicity with prolonged use.","Adults, typically aged 18 and above.",No significant gender differences observed.,Small molecule (nitroprusside); classified as an antihypertensive agent.,406000000,402400000,398800000,395200000,391600000,15920943026,8103760,15881280632,8035928,15220676218,7968024,14629718519,7900048
Hyperthyroidism,"Weight loss, increased appetite, rapid heartbeat, anxiety, tremors, sweating, menstrual changes, and heat intolerance",Approximately 1.2% of the US population,0.012,0.01199,0.01198,0.01197,0.01196,1750,1719.056974,1729.249012,1671.442216,1620.37037,"Typically between $1,000  $2,500 depending on the number of scans and procedures required","Moderate to high, depending on severity and management of symptoms",0.3,0.05,High efficacy in diagnosing and managing hyperthyroidism and related conditions,Generally safe when used as directed for diagnostic imaging,"Minor adverse events such as allergic reactions, transient hypothyroidism, or injection site reactions",Adolescents to older adults,"More common in females, with a femaletomale ratio of about 5:1",Radioactive iodine isotope (used in diagnostic imaging),406000000,402400000,398800000,395200000,391600000,8347328094,4855760,8329322134,4816728,7985522445,4777624,7678040741,4738448
Hypertriglyceridemia,"Elevated triglyceride levels, abdominal pain, pancreatitis (in severe cases)",Approximately 30% of adults in the USA have elevation in triglycerides (?150 mg/dL); specific prevalence for severe hypertriglyceridemia (?500 mg/dL) is about 12%,0.015,0.01499,0.01498,0.01497,0.01496,300,294.6954813,296.4426877,286.5329513,277.7777778,Approximately $200 to $400 depending on insurance coverage and pharmacy,Moderate impact when triglyceride levels are controlled; severe cases can significantly affect quality of life due to associated complications,0.25,0.05,Effective in lowering triglyceride levels by approximately 2050% in clinical studies,Generally considered safe; routine monitoring is recommended,"Common adverse events include gastrointestinal issues (nausea, diarrhea), fishy aftertaste, and increased bleeding tendency","Typically used in adults, but can be prescribed for children over 12 with appropriate conditions",No significant gender preference; prescribed to both males and females,Small molecules (fish oil derivatives),406000000,402400000,398800000,395200000,391600000,1789909627,6073760,1785749407,6023928,1711754728,5974024,1645568889,5924048
Hypoalbuminemia,"Swelling (edema), fatigue, weakness, increased susceptibility to infections, and potential for fluid accumulation in the lungs (pulmonary edema).",Approximately 45% of hospitalized patients.,0.045,0.04499,0.04498,0.04497,0.04496,35000,34381.13949,34584.98024,33428.84432,32407.40741,"Approximately $20,000 to $50,000, depending on usage and insurance coverage.","Patients with hypoalbuminemia often experience reduced quality of life due to persistent fatigue, increased susceptibility to infections, and potential hospitalization.",0.3,10.2,Generally effective in raising serum albumin levels and improving clinical outcomes in patients who are hypoalbuminemic.,Generally welltolerated; special caution is recommended in patients with a history of allergic reactions to albumin products.,"Potential for allergic reactions, fever, chills, headache, hypotension, and in rare cases, renal failure or thromboembolism.","Used in all age groups, but particularly in elderly patients and those with chronic conditions.",Both males and females are affected; no significant gender preference.,Biological product (human albumin solution).,406000000,402400000,398800000,395200000,391600000,6.27585E+11,18253760,6.25847E+11,18095928,5.99647E+11,17938024,5.76205E+11,17780048
Hypomagnesemia,"Muscle cramps, fatigue, weakness, irritability, nausea, abnormal heart rhythms",Approximately 1015% in the general population of Switzerland,0.125,0.12499,0.12498,0.12497,0.12496,287.5,282.4165029,284.0909091,274.5940783,266.2037037,Approximately CHF 200300 depending on dosage and duration of treatment,"Improved with correction of magnesium levels, potential enhancement of muscle function and overall wellbeing",0.05,0.01,Highly effective in restoring magnesium levels in the body,"Generally safe when used as directed; however, monitoring is advisable for those with kidney disease","Rarely causes gastrointestinal disturbances, flushing, low blood pressure, or allergic reactions","Adults, typically aged 18 and above",No significant gender differences in prevalence or response,Mineral supplement (small molecules),406000000,402400000,398800000,395200000,391600000,14328051081,50733760,14286343182,50287928,13686324642,49842024,13149410926,49396048
Hyponatremia,"Nausea, headache, confusion, fatigue, muscle cramps, seizures, and in severe cases, coma","Approximately 1% of the population, with higher rates in hospitalized patients",0.01,0.00999,0.00998,0.00997,0.00996,12500,12278.97839,12351.77866,11938.87297,11574.07407,"Approximately $10,000  $15,000","Hyponatremia can significantly impact quality of life, leading to fatigue and confusion, which affects daily activities",0.25,0.1,Effective in correcting serum sodium levels in patients with euvolemic or hypervolemic hyponatremia,"Generally welltolerated; monitoring required, especially for sodium levels","Thirst, dry mouth, headache, constipation, increased blood pressure, potential for osmotic demyelination syndrome if sodium is corrected too rapidly","Primarily adults, often > 60 years old","More prevalent in females than males, particularly in postmenopausal women",Small molecule (vasopressin receptor antagonist),406000000,402400000,398800000,395200000,391600000,49653241650,4043760,49554446640,4011928,47517000955,3980024,45695000000,3948048
Hypoparathyroidism,"Tingling or burning sensations in the fingers, muscle cramps, fatigue, and neck stiffness; severe cases may lead to seizures or cardiac issues.","Approximately 0.3 cases per 100,000 people in the USA; it is considered rare but can vary based on the population studied.",0.000003,0.000007,0.000017,0.000027,0.000037,17500,17190.56974,17292.49012,16714.42216,16203.7037,"Approximately $15,000 to $20,000, depending on dosage and insurance coverage.",Can be significantly impacted by symptoms; many patients require ongoing management and may have limitations in daily activities due to symptoms.,0.3,0.12,"In clinical use, the efficacy of THYQUIDITY for managing symptom control in hypoparathyroidism is generally considered effective but varies among patients.",Welltolerated in the majority of patients; safety established through clinical trials and ongoing postmarket surveillance.,"Common adverse events may include hypercalcemia, gastrointestinal upset, or hypersensitivity reactions.","Primarily adults, though it can occur in children.","More common in females than males, with a femaletomale ratio of approximately 3:1.",Small molecule therapy (calcitriol and formulations aimed at managing calcium levels).,406000000,402400000,398800000,395200000,391600000,258236738.7,15022,187879446.6,10864.8,113317096.5,6779.6,44825925.93,2766.4
Hypophosphatemia,"Muscle weakness, bone pain, fatigue, irregular breathing, and in severe cases, fractures, rickets, or osteomalacia.","Approximately 1 in 1,000 individuals in the USA.",0.001,0.00099,0.00098,0.00097,0.00096,1000,982.3182711,988.1422925,955.1098376,925.9259259,"Approximately $500 to $1,500, depending on the formulation and treatment length.","Poor quality of life associated with chronic symptoms, but can improve with treatment.",0.15,0.02,High efficacy in correcting phosphate levels and alleviating symptoms when administered appropriately.,Generally safe when used as directed; requires monitoring of serum phosphate levels.,"Diarrhea, nausea, abdominal pain, and in rare cases, hyperphosphatemia leading to vascular calcification.","All age groups, commonly seen in children and adults.",No significant gender bias; prevalence is similar across genders.,Electrolyte supplement.,406000000,402400000,398800000,395200000,391600000,382868369.4,389760,385699604.7,390328,373279847.2,390824,362266666.7,391248
IgA Nephropathy,"Blood in urine (hematuria), protein in urine (proteinuria), swelling in the legs and feet (edema), high blood pressure, kidney dysfunction.","Approximately 0.5 to 1.0 per 100,000 individuals in the USA.",0.0000075,0.0000025,0.0000125,0.0000225,0.0000325,40000,39292.73084,39525.6917,38204.39351,37037.03704,"Approximately $30,000 to $50,000 per year, depending on insurance coverage and patient copay.","The quality of life can be significantly affected due to fatigue, complications from kidney disease, and psychological effects of chronic illness.",0.3,0.1,"Clinical trials show that FILSPARI (ferumoxytol for patients with IgA nephropathy) successfully reduces proteinuria and improves renal function, with an efficacy rate of about 30% in reducing proteinuria by more than 50% over 6 months.","Generally welltolerated with a safety profile similar to other therapies for chronic kidney disease, but longterm safety data is still being evaluated.","The most common adverse events include hypotension, nausea, and headache, with rates around 1520%.",Primarily adults aged 1864 years.,"More prevalent in males, but affects both genders with slight male predominance.","Small molecules, antiinflammatory agent.",203200000,201400000,199600000,197800000,196000000,259489194.5,6604,179110671.9,4531.5,95319961.8,2495,18314814.81,494.5
Impetigo,"Red sores or blisters that can ooze, crust over, and may be itchy or painful. Commonly affects the area around the nose and mouth.","Approximately 3.4 million cases per year in the USA, most common in children aged 25 years.",0.001,0.00099,0.00098,0.00097,0.00096,400,392.9273084,395.256917,382.0439351,370.3703704,Approximately $300 to $500 depending on treatment duration and insurance coverage.,"Generally high; usually resolves without complications, but may cause discomfort and distress in affected individuals, especially children.",0.05,0.01,"Effective in reducing the duration of infection and symptoms, with studies showing approximately 8090% clinical improvement within a week of treatment.","Generally considered safe for topical use, with minimal systemic absorption.","Potential localized skin reactions such as burning, stinging, or itching at the application site; low incidence of systemic allergic reactions.","Primarily children, but can occur at any age.",Affects both males and females equally.,Topical antibiotic (specifically a cream formulation containing silver sulfadiazine).,312720000,309960000,307200000,304440000,301680000,117961178.8,300211.2,118838419,300661.2,115016618.9,301056,111628000,301395.6
Keratoconus,"Blurred vision, distortion of vision, increased sensitivity to light, difficulty seeing at night","Approximately 1 in 2,000 individuals in the USA, with total cases estimated at around 200,000",0.0005,0.00049,0.00048,0.00047,0.00046,3750,3683.693517,3705.533597,3581.661891,3472.222222,"Costs can range from $2,500 to $5,000 depending on the extent of treatment and followup care",Significantly impacted due to vision impairment; patients often face difficulties in daily activities and may require corrective lenses or surgery,0.2,0,Clinical studies show over 70% of patients report stabilization of vision and improvement in visual acuity posttreatment,Generally considered safe; complications are rare when performed by experienced practitioners,"Possible adverse events include corneal edema, infection, pain, and haze; about 5% of patients may experience significant adverse events","Most commonly diagnosed in adolescents and young adults, typically ages 10 to 25","More common in males, with a maletofemale ratio of approximately 1.5:1",Crosslinking therapy (not a pharmacological agent; combined method involving photosensitizer and UV light),406000000,402400000,398800000,395200000,391600000,687966601.2,186760,700820158.1,189128,685616045.8,191424,672388888.9,193648
Lactose Intolerance,"Bloating, diarrhea, gas, cramping, nausea, abdominal pain",Approximately 3050 million people in the USA (about 1520% of the population) experience lactose intolerance,0.175,0.17499,0.17498,0.17497,0.17496,200,196.4636542,197.6284585,191.0219675,185.1851852,Approximately $100$300 depending on the dosage and frequency of use,"Generally lowquality life impacts due to dietary restrictions and discomfort; however, symptoms can be managed with dietary adjustments and lactase supplements",0.2,0,High; lactase supplements significantly improve digestion of lactose in affected individuals,Generally considered safe with minimal side effects when used as directed,Rare; may include gastrointestinal discomfort in some individuals if taken in excessive amounts,All age groups; more common in adolescents and adults,Both genders are equally affected,Enzymatic supplement (small molecules),406000000,402400000,398800000,395200000,391600000,13955552063,71033760,13914610277,70407928,13329899522,69782024,12806675556,69156048
LambertEaton Myasthenic Syndrome (LEMS),"Muscle weakness, especially in the hips and thighs, dry mouth, blurred vision, ptosis (droopy eyelids), and difficulty swallowing.",Approximately 34 cases per million people in the USA.,0.0000035,0.0000065,0.0000165,0.0000265,0.0000365,25000,24557.95678,24703.55731,23877.74594,23148.14815,"Estimated to be around $20,000  $30,000.",Can be significantly impacted due to muscle weakness and fatigue; social and occupational functioning may decline.,0.4,0.05,Clinical studies have shown improved muscle strength and function in about 5060% of patients.,"Generally well tolerated; close monitoring recommended, especially in patients with prior history of malignancies.","Common adverse events include dizziness, fatigue, nausea, and diarrhea.","Primarily affects adults, commonly diagnosed in individuals aged 3060 years.","Affects both genders, though slightly more prevalent in males.",Small molecules (FIRDAPSE is a small molecule acetylcholinesterase inhibitor).,406000000,402400000,398800000,395200000,391600000,363924361.5,14819,263428853.8,10663.6,157120343.8,6580.2,59462962.96,2568.8
Leishmaniasis,"Fever, weight loss, enlarged sple spleen, liver, and lymph nodes, skin lesions (visceral leishmaniasis), localized sores (cutaneous leishmaniasis)","Approximately 13 cases per 100,000 inhabitants in Switzerland",0.00002,0.00001,0,0.00001,0.00002,17250,16944.99018,17045.45455,16475.6447,15972.22222,"Approximately CHF 10,000 to CHF 20,000 depending on treatment duration and patient needs","Affected individuals may experience significant impairment in quality of life, particularly in cases of visceral leishmaniasis",0.15,0.1,"Generally high efficacy in treatment, particularly in visceral cases, with a cure rate of around 90%",Generally welltolerated; side effects are rare but may occur,"Infusionrelated reactions, hepatotoxicity, nephrotoxicity, and cardiotoxicity in rare cases",Primarily affects all age groups; higher incidence in travelers and immunocompromised individuals,"No significant gender predisposition, but some forms are more prevalent in males due to occupational exposure",Small molecule (antimicrobial agent),381740000,378360000,374980000,371600000,368220000,129371611,7634.8,64493181.82,3783.6,64493181.82,0,69352777.78,3716
LennoxGastaut Syndrome (LGS),"Multiple types of seizures, cognitive impairment, developmental delays, behavioral issues, and ataxia.","Approximately 1 to 5 per 10,000 children in the USA.",0.0003,0.00029,0.00028,0.00027,0.00026,17500,17190.56974,17292.49012,16714.42216,16203.7037,"Approximately $15,000  $20,000 per year, depending on dosage and healthcare coverage.",Can be significantly affected due to persistent seizures and associated developmental challenges; management often requires ongoing medical care.,0.8,0.25,Demonstrated to reduce seizure frequency by approximately 4050% in clinical trials.,Generally well tolerated; requires monitoring for side effects.,"Common adverse events include somnolence, decreased appetite, fatigue, irritability, and potential liver function abnormalities.",Primarily prescribed for children and adolescents aged 2 years and older.,"Affects both genders equally, though some studies suggest a slight male predominance in LGS.",Small molecule anticonvulsant.,331293333.3,328353333.3,325413333.3,322473333.3,319533333.3,1480731500,86136.26666,1533072628,88655.39999,1522946832,91115.73332,1515326080,93517.26666
Lipodystrophy,"Abnormal fat distribution, insulin resistance, hyperglycemia, high triglyceride levels, and increased risk of metabolic disorders.","Approximately 1 in 40,000 individuals in the USA have congenital lipodystrophy, while acquired forms are less clearly defined but can occur in various populations.",0.000025,0.000015,0.000005,0.000005,0.000015,175000,171905.6974,172924.9012,167144.2216,162037.037,"Approximately $100,000  $250,000 depending on the dosage and healthcare coverage; costs can vary significantly based on the patient's specific health insurance plan.","Significantly impacted; individuals may experience physical discomfort, psychological distress, and social stigma due to body image issues related to abnormal fat distribution.",0.3,0.05,"MYALEPT has shown efficacy in improving metabolic parameters (e.g., lowering triglycerides and improving glycemic control) in patients with generalized lipodystrophy.","Generally welltolerated; however, it requires monitoring for potential adverse effects and metabolic improvements.","Common adverse events include injection site reactions, headache, and abdominal pain. Serious adverse effects may include hypoglycemia and the potential for increased liver enzyme levels.",Approved for use in patients 2 years of age and older.,"Affects both genders, although the prevalence of specific forms (e.g., congenital) may differ.",Recombinant leptin therapy (small molecule).,406000000,402400000,398800000,395200000,391600000,1046905697,6090,347924901.2,2012,333285577.8,1994,960555555.6,5928
Lung Cancer,"Persistent cough, chest pain, weight loss, shortness of breath, fatigue, coughing up blood","Approximately 5,000 new cases annually in Switzerland",0.0005,0.00049,0.00048,0.00047,0.00046,25875,25417.48527,25568.18182,24713.46705,23958.33333,"Approximately CHF 20,000  25,000 per year","Significantly impacted, especially in advanced stages; patients often experience decreased physical capacity and emotional distress",0.45,0.25,Clinical trials show a 2030% response rate in patients with specific cancer subtypes,"Generally welltolerated; however, monitoring is essential during treatment","Common adverse events include nausea, vomiting, diarrhea, and potential liver toxicity",Primarily adults aged 50 and older,"More prevalent in men, but incidence is increasing in women",Small molecules (chemotherapy agent),263851428.6,261485714.3,259120000,256754285.7,254388571.4,3084962307,121371.6572,3142285714,122898.2857,3073801719,124377.6,3014188333,125809.6
Macular Degeneration,"Blurred vision, blind spots, changes in color perception, difficulty seeing in low light",Approximately 10 million people in the USA are affected by agerelated macular degeneration (AMD),0.0002,0.00019,0.00018,0.00017,0.00016,21000,20628.68369,20750.98814,20057.30659,19444.44444,"Approximately $12,000 to $30,000 per year, depending on treatment regimen","Significant impact on daily living activities, increased dependency on others, can lead to depression and decreased overall wellbeing",0.2,0.01,Clinical trials show efficacy rates in slowing disease progression at about 3050% for patients receiving treatment,"Generally considered safe with appropriate monitoring, but not free from risk","Common adverse events include injection site reactions, ocular inflammation, and potential for retinal detachment",Primarily affects individuals aged 50 and older,"More prevalent in women than men, though both genders are affected",Monoclonal antibodies (antiVEGF therapy),103677000,102731000,101785000,100839000,99893000,342195206.3,16588.32,362400859.7,17464.27,367475931.2,18321.3,372544083.3,19159.41
Malignant Hyperthermia,"Muscle rigidity, rapid heart rate, elevated body temperature, metabolic acidosis, increased carbon dioxide production, confusion or agitation.","Approximately 1 in 100,000 general anesthesia cases, prevalence of MH susceptibility in the general population is estimated at 1 in 15,000 to 1 in 50,000.",0.00001,0,0.00001,0.00002,0.00003,4000,3929.273084,3952.56917,3820.439351,3703.703704,"Approximately $3,000 to $5,000, depending on administration and the number of episodes treated.","Quality of life is significantly affected during an episode, particularly if not treated promptly. Longterm impacts can result from complications, but those with managed conditions typically experience normal quality of life.",0.3,52.01,Dantrolene is effective in reversing the effects of malignant hyperthermia; studies indicate it can reduce mortality rates significantly when administered quickly.,"Generally safe when used appropriately; however, requires cautious use in patients with liver disease.","Potential adverse events include drowsiness, dizziness, weakness, confusion, diarrhea, and risk of liver toxicity with chronic use.",Primarily used in adults; may be prescribed in adolescents and children based on medical need.,No specific gender predisposition; affects all genders equally.,Small molecule.,284016666.7,281513333.3,279010000,276506666.7,274003333.3,33479371.32,8520.500001,22254018.44,5630.266666,10659407.83,2790.1,13659407.83,0
Malnutrition,"Weight loss, fatigue, weakness, muscle wasting","Approximately 5% of the U.S. population, higher in elderly and hospitalized patients",0.05,0.04999,0.04998,0.04997,0.04996,750,736.7387033,741.1067194,716.3323782,694.4444444,"Approximately $500$1,000 depending on use and quantity",Can be significantly affected due to weakness and lack of energy,0.3,0.1,Effective as a dietary supplement for improving nutritional status in individuals unable to meet dietary needs,"Generally considered safe for use in most populations, but caution is advised in those with certain health conditions","Gastrointestinal discomfort, bloating, diarrhea","All age groups, particularly elderly and those with chronic illnesses",Both males and females,Nutritional supplement (oral nutritional formula),406000000,402400000,398800000,395200000,391600000,14943831041,20283760,14902120553,20107928,14277954155,19932024,13719477778,19756048
Mantle Cell Lymphoma,"Swollen lymph nodes, fever, weight loss, fatigue, night sweats","Approximately 25 cases per 100,000 people in Italy",0.000035,0.000025,0.000015,0.000005,0.000005,634500,623280.943,626976.2846,606017.192,587500,"Approximately 60,000  80,000",Moderate to low due to chronic nature and treatment side effects,0.6,0.3,Clinical trials show response rates of 3050% for patients with relapsed/refractory disease,"Generally welltolerated; however, prolonged use can lead to complications","Neutropenia, diarrhea, fatigue, nausea, increased risk of infection","Mostly affects adults, predominantly aged 60 and older",Slightly more common in males,Small molecules (Bruton tyrosine kinase inhibitor),381740000,378360000,374980000,371600000,368220000,1189656336,1908.7,1186113735,1891.8,3408664900,5624.7,5457875000,9290
Melasma,"Brown or graybrown patches on the skin, typically on the face; uneven skin tone",Approximately 6.8 million cases in the USA,0.00005,0.00004,0.00003,0.00002,0.00001,450,442.043222,444.6640316,429.7994269,416.6666667,Estimated at $300  $600 depending on insurance coverage and pharmacy costs,Can negatively impact selfesteem and social interactions due to visible skin changes,0.5,0,"Effective for skin lightening and reducing the appearance of melasma, with around 5070% of patients achieving significant improvement",Generally safe for topical use; less systemic exposure compared to oral therapies,"Common adverse events include skin irritation, redness, peeling, and photosensitivity",Most commonly prescribed to adults aged 2050 years,"More prevalent in women than men, with around 90% of cases occurring in women","Combination topical therapy (contains hydroquinone, tretinoin, and fluocinolone acetonide)",331293333.3,328353333.3,325413333.3,322473333.3,319533333.3,1464459.725,3312.933333,2920138.34,6567.066666,4195873.925,9762.399999,5374555.555,12898.93333
